id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency,price_change_percentage_24h_in_currency,roi.times,roi.currency,roi.percentage
bitcoin,btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,51644.0,974443459844,1,1083054885625.0,33083285647.0,51672.0,48196.0,3447.73,7.15355,64660078895.0,7.10719,18894068.0,21000000.0,21000000.0,69045.0,-25.30348,2021-11-10T14:24:11.849Z,67.81,75957.81264,2013-07-06T00:00:00.000Z,,2021-12-07T15:11:42.253Z,1.195130756961454,7.153548655458137,,,
ethereum,eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4410.94,522611943887,2,,25711531580.0,4427.25,4029.67,381.27,9.46165,46446216042.0,9.75421,118642946.5615,,,4878.26,-9.70313,2021-11-10T14:24:19.604Z,0.432979,1017251.37408,2015-10-20T00:00:00.000Z,,2021-12-07T15:10:52.037Z,1.2780186902463058,9.461645456939255,113.44683346161855,btc,11344.683346161855
binancecoin,bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,589.8,98998618191,3,98998618191.0,2412076341.0,594.51,558.17,31.63,5.66633,5951703841.0,6.39645,168137035.9,168137035.9,168137035.9,686.31,-14.20785,2021-05-10T07:24:17.097Z,0.0398177,1478632.46041,2017-10-19T00:00:00.000Z,,2021-12-07T15:12:47.870Z,1.5660846032750166,5.666329173178097,,,
tether,usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,1.0,77289632000,4,,73435107953.0,1.02,0.992355,0.00196923,0.19659,1105070864.0,1.45052,77041290049.2203,77041290049.2203,,1.32,-24.17602,2018-07-24T00:00:00.000Z,0.572521,75.22912,2015-03-02T00:00:00.000Z,,2021-12-07T15:08:28.741Z,0.21369136289622384,0.19658690161185954,,,
solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/Solana.jpg?1635329178,199.24,61360659747,5,,2824308777.0,203.42,180.37,18.87,10.46156,6275666156.0,11.3927,305911130.891347,508180963.57,,259.96,-22.84042,2021-11-06T21:54:35.825Z,0.500801,39952.51451,2020-05-11T19:35:23.449Z,,2021-12-07T15:10:54.401Z,0.09917966331383878,10.461556009761567,,,
cardano,ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,1.45,46580036384,6,65367557545.0,2230859742.0,1.47,1.29,0.158064,12.21645,5140530918.0,12.4049,32066390668.4135,45000000000.0,45000000000.0,3.09,-52.94285,2021-09-02T06:00:10.474Z,0.01925275,7444.96173,2020-03-13T02:22:55.044Z,,2021-12-07T15:09:46.479Z,0.7081419514252315,12.216454656248372,,,
usd-coin,usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,41000547225,7,,4058301665.0,1.01,0.99357,0.0006732,0.06736,74547299.0,0.18215,40874095404.5832,40828359980.3963,,1.17,-14.53465,2019-05-08T00:40:28.300Z,0.891848,12.37986,2021-05-19T13:14:05.611Z,,2021-12-07T15:12:34.437Z,-0.009078065560900735,0.06736228914875479,,,
ripple,xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,0.83564,39429905411,8,83454311551.0,3442449862.0,0.843768,0.776451,0.059189,7.62303,2915553953.0,7.98468,47247295769.0,100000000000.0,100000000000.0,3.4,-75.44342,2018-01-07T00:00:00.000Z,0.00268621,30967.71818,2014-05-22T00:00:00.000Z,,2021-12-07T15:12:35.234Z,1.1161284391308695,7.6230256726911305,,,
polkadot,dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,29.72,31436222038,9,,1405512538.0,29.92,26.14,3.58,13.70712,3711504251.0,13.38699,1062723424.43095,1143672558.55731,,54.98,-46.1151,2021-11-04T14:10:09.301Z,2.7,998.30944,2020-08-20T05:48:11.359Z,,2021-12-07T15:12:09.775Z,1.999442370483771,13.70711550202385,,,
terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,72.17,27920492068,10,72826025994.0,3345115888.0,73.72,62.24,8.33,13.04972,3457701909.0,14.13454,383386182.169531,856538781.228705,1000000000.0,77.73,-6.30927,2021-12-05T09:49:05.708Z,0.121798,59692.38414,2020-03-18T17:03:01.083Z,,2021-12-07T15:11:04.633Z,0.9997092059751165,13.04971623332875,,,
